"Cc1noc(C)c1[C@H](C)C(=O)N1Cc2cc(F)c(F)cc2C1","ZINC000654174834","DGAD"
"CC1(C)NC(=O)N(CCCNCCNC(=O)[C@@H]2CCCO2)C1=O","ZINC001123159834","EBAD"
"Cc1ccc(C(=O)N[C@H]2C[C@@H](NC(=O)CC3CCC3)C2)s1","ZINC000973811614","DFAD"
"CO[C@@H](C(=O)NC[C@@H]1CCCCN1C(=O)c1cnon1)C1CCC1","ZINC001082244567","ECAD"
"C=CCCO[C@H](C)C(=O)N[C@H](C)CCNc1ncc(F)cn1","ZINC001106245622","DDED"
"Cc1noc([C@@H](C)N2CC(CNC(=O)c3nc[nH]c3C(C)(C)C)C2)n1","ZINC001031682632","EDAD"
"Cc1csc(CN2[C@@H]3CC[C@H]2[C@H](NC(=O)c2cc(F)c[nH]2)C3)n1","ZINC001097560067","EEAD"
"Cc1ccc(C(=O)NCCc2ccccc2OC(F)F)c(=O)[nH]1","ZINC000188712559","DEAD"
"COCC(=O)N(C)CC(=O)N1CC(CNC(=O)c2cnns2)C1","ZINC001416078811","EAAD"
"COCCC(=O)N1CCC2(CN(C(=O)[C@H]3CC(=O)N(C)C3)C2)C1","ZINC001383606875","DBAD"
"COCCNC(=O)c1ccc(NCC[C@@H]2CCCC[C@H]2C)nc1","ZINC000358229113","DFAD"
"CCc1onc(C)c1CNCCNC(=O)[C@@H]1C[C@H]1c1ccnn1C","ZINC001131634440","EDAD"
"Cc1cccc(OCCNC(=O)N2CC[C@@](C)(F)C2)c1","ZINC000500251475","CFAD"
"C[C@@H](C(=O)N1CC([C@H](C)NC(=O)Cc2cnc[nH]2)C1)C1CCCC1","ZINC001383318073","EDAD"
"CNC(=O)CCCC(=O)NC[C@H](C)NC(=O)c1cnsn1","ZINC001408120899","DBAD"
"CCC[C@H](CN1CCN2C(=O)NC(=O)[C@H]2C1)OC","ZINC000638915044","CCAD"
"C/C=C(\C)C(=O)N1CCC[C@H](NC(=O)c2c(C)cncc2C)CC1","ZINC000965013831","EFAD"
"NC(=O)NCC(=O)N1CC(O)(CNC(=O)c2ccc[nH]2)C1","ZINC001041438768","CAAD"
"CCn1ncc(C(=O)N[C@@H]2CN([C@H](C)c3ncccn3)C[C@H]2O)n1","ZINC001076967894","EBAD"
"O=C1C[C@H]2C[C@H](N[C@H]3C(=O)NC(=O)NC3=S)C[C@H]2C1","ZINC001254936335","CBAD"
"Cc1cc(Nc2ccc3c(c2)OC(F)(F)O3)cnc1N1CCNCC1","ZINC001159496053","EFAD"
"NC(=O)c1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)C2)[nH]1","ZINC001644988735","CAAD"
"O=C(Cn1ncnn1)N1CC[C@@H](Nc2nccc(C(F)(F)F)n2)C1","ZINC001056707103","ECAD"
"Cc1nc(Cn2nnc(C(=O)NCC3(CC(C)C)CCC3)c2C)no1","ZINC000346258428","EEAD"
"Cn1cnnc1[C@H]1CCN(C(=O)[C@@H]2CCS(=O)(=O)N2)C1","ZINC001364650573","CAAD"
"COCCC(=O)N1CCC[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1Cc2ccccc21","ZINC001056178449","EDAD"
"Cn1c(=O)ccn(CC(=O)N2CCCOC2)c1=O","ZINC000293699536","CAAD"
"C[C@@H](C(=O)NC[C@H]1CCCO1)N1CC(NC(=O)c2cn[nH]c2)C1","ZINC001481545398","DBAD"
"O=C(Cn1nccn1)N1C[C@H]2CC[C@H]1[C@H](NCc1ccns1)C2","ZINC001078958205","ECAD"
"C#CCN[C@@H](CNC(=O)c1cc(Cl)n(C)n1)c1ccccc1OC","ZINC001198795296","EDED"
"COCCCC(=O)N[C@@H](C)[C@H](C)NCc1nc(=O)n(C)[nH]1","ZINC001755226327","CBAD"
"COc1ncc(Br)cc1CN1CCC[C@H](CF)C1","ZINC000880237422","DGAD"
"CN1CC[C@@H](Nc2nc(S(C)(=O)=O)nc3c2CCNCC3)C1=O","ZINC001156502825","EBAD"
"CC(=O)N(C)CC(=O)NCC1(O)CN(C(=O)C(C)(F)F)C1","ZINC001041568729","DAAD"
"CCO[C@@H]1C[C@H]1NC(=O)N(Cc1ccccc1)CC1CCC1","ZINC000580517943","DGAD"
"CCn1ncc(C(=O)N2CCC[C@@H](N[C@@H]3CCNC3=O)C2)c1C1CC1","ZINC001000657946","ECAD"
"CC(=O)OCCCc1cccc(NC(=O)[C@@](C)(N)c2ccccc2)c1","ZINC000843494423","EFAD"
"Cc1noc(C)c1[C@H](C)CNC(=O)C(=O)N[C@@H]1C=CCC1","ZINC001350833544","CDAD"
"Cc1cc(C)c(CNC(=O)N[C@H](C)[C@@H]2CCCCO2)cn1","ZINC000454781054","CEAD"
"C[C@@H](CCc1ccco1)NC[C@H]1CN2CCC1CC2","ZINC001660827408","CFAD"
"CC(=O)c1ccc(F)c(-c2cccc(-c3nc[nH]n3)c2)c1","ZINC001241302760","CGAD"
"C[C@@H]1[C@H](NC(=O)CCCC2CC2)CCCN1Cc1cnn[nH]1","ZINC001576019035","DDAD"
"COc1cnc(-c2cncc(OCC3CC3)c2)nc1","ZINC001245241065","CEAD"
"COc1ccc(CN(C)C(=O)[C@H]2CCC=CO2)cc1F","ZINC001411633852","CEAD"
"C[C@H]1CCC[C@]1(C)C(=O)NCc1cn(-c2ccccc2)nn1","ZINC000826993470","CFAD"
"COC(=O)[C@@H](C)CN1C(=O)COCC12CN(Cc1cc[nH]n1)C2","ZINC001272541771","DBAD"
"CCc1oncc1C(=O)N[C@H]1CCN(C(=O)CCNC(N)=O)C1","ZINC001407757732","DBAD"
"Cc1cc(Nc2cc(F)c(F)c(C(=O)O)c2)nn1C","ZINC001215455651","CEAD"
"CC1CCN(C(=O)NCc2ccc(C(=O)O)o2)CC1","ZINC000094554694","CDAD"
"NC(=O)[C@@H]1CC[C@@H]1C(=O)N1CCN(Cc2nc(O)n[nH]2)CC1","ZINC000949655883","DAAD"
"CC1(C(=O)N2C[C@@H](NC(=O)[C@@H]3CC=CCC3)[C@@H](O)C2)CCC1","ZINC000961508234","DDAD"
"O=C(COCC1CC1)N[C@H]1CCN(C(=O)c2cnnc(O)c2)C1","ZINC001453982585","DBAD"
"NC(=O)[C@H]1CC12CN(C(=O)c1ccc3c(c1)OCC(=O)N3)C2","ZINC001269137283","DBAD"
"CC(C)SCC(=O)N1CC[C@H](NC(=O)c2ccn(C(F)F)n2)C1","ZINC001396919239","EDAD"
"CC[C@@H]1CN(C)CCN1C(=O)N[C@@H](C)C1CCOCC1","ZINC000584514742","CDAD"
"CCOc1ncc(Cl)cc1CN1CCCCO1","ZINC001233170207","CFAD"
"Cc1cc([C@@H](NC(=O)C2(C)COC(C)(C)OC2)C(=O)O)ccc1F","ZINC001600148101","EEAD"
"CCc1ccccc1CCN1CC[C@H](CO)[C@@H](O)C1","ZINC000583106436","CDAD"
"Cc1nc([C@H]2CCCN(C(=O)c3cccc4ccncc43)C2)n[nH]1","ZINC000648824785","DFAD"
"Cc1ccc(C(=O)NC[C@H]2COCCN2Cc2ccsc2)c(C)c1","ZINC001051233966","EFAD"
"CO[C@@H](C(=O)N1CCN(S(C)(=O)=O)CC1)C(C)C","ZINC000471790526","CBAD"
"COc1cccnc1C(=O)N1CCCc2ccc(F)cc21","ZINC000630767222","CFAD"
"O=C(O)C1(c2noc(Cc3c[nH]c4cc(F)ccc34)n2)CCC1","ZINC001594885577","DFAD"
"O=C(N[C@@H]1CCCCN(Cc2ccc(F)cc2)C1)C1[C@H]2CCC[C@H]12","ZINC001034161683","EGAD"
"Cc1ocnc1CNC(=O)NCc1ccc(C(=O)O)s1","ZINC001600861088","CDAD"
"CCCCCn1cc(CNC[C@@H](O)CC(C)(C)C#N)c(C)n1","ZINC000598725781","DFED"
"CC[C@H](C)CN1CC[C@H](NC(=O)c2cc(F)ccc2C)[C@H]1C","ZINC001088777910","DGAD"
"CCN(C(=O)c1c[nH]c2nccc-2c1)[C@@H]1CCN(CC(C)C)C1","ZINC001033864453","DFAD"
"COC(=O)N1CCC(C(=O)NC[C@@H](O)C(N)=O)CC1","ZINC001362414997","CAAD"
"CC(C)NC(=O)CN[C@H](C)CNC(=O)Cc1nc[nH]n1","ZINC001376840609","CAAD"
"COCC[C@](C)(O)CN[C@H](C)c1cc(C)ccc1OC(F)F","ZINC000178371163","DGAD"
"O=C(Nc1nc2c(s1)CCCCC2)NC1CCSCC1","ZINC000195151651","DGAD"
"Cc1nc(C(=O)N(C)C[C@](C)(O)c2ccccc2)sc1C","ZINC000819715937","DFAD"
"CCN(C(=O)c1ccncc1)[C@H]1CCN(C(=O)[C@H](O)C(C)C)C1","ZINC000942636756","DDAD"
"Cc1cc(N[C@H]2C[C@H](CNC(=O)[C@@H]3CC3(F)F)C2)nc(C)n1","ZINC001046805923","DEAD"
"C[C@@]1(CNC(=O)Nc2ccc(N3CCCC3=O)cc2)CCOC1","ZINC000603561158","DEAD"
"CCN(CC(=O)O)C(=O)[C@H](C)c1ccc(Cl)c(Cl)c1","ZINC000262492165","DGAD"
"COc1ccc(C(C)(C)C(=O)NC[C@H](O)CC(C)C)cc1OC","ZINC000159275024","DFAD"
"Cn1nccc1C(=O)N1CC[C@@H](CCNC(=O)C[C@H]2CCNC2=O)C1","ZINC001059299500","EBAD"
"O=C(c1ncccc1Cl)N1CCC(F)(c2cccnc2)CC1","ZINC000353386775","DGAD"
"N#Cc1nc(=NCCCOCCNC(=O)c2cncnc2O)cc[nH]1","ZINC001115426504","EBED"
"Cn1cc(NC(=O)[C@@H]2CC(c3cc(F)ccc3F)=NO2)cn1","ZINC000078651169","DDAD"
"Cn1nccc1C(=O)NCCNCCCS(C)(=O)=O","ZINC001124550565","CBAD"
"COc1ccc([N+](=O)[O-])cc1CN[C@@H]1C[C@H](OC(C)C)C1(C)C","ZINC000361030045","DGBD"
"O=S(=O)(NC[C@@H](c1ccco1)N1CCCC1)C1CCC1","ZINC000820768132","CDAD"
"O=C(NCC1CN(CC[C@@H]2CCOC2)C1)c1c[nH]c(-c2nn[nH]n2)c1","ZINC001582476801","ECAD"
"CC[C@@H](CNC(=O)c1cccc(C(N)=O)n1)NCC(=O)NC1CC1","ZINC001400916241","EBAD"
"C#C[C@H](C)N(C)c1nnc([C@@H](C)c2ccc(OC)cc2)n1CC","ZINC001121756772","DFED"
"N#CCN(Cc1c[nH]c2nccnc12)C1CCCC1","ZINC000284152307","CEED"
"COC[C@]12CCCO[C@H]1CCN(c1ccnc(N3CCOCC3)n1)C2","ZINC001165950770","EDAD"
"NC(=O)[C@@H]1C[C@@H]1C(=O)N1CCOC2(CN(Cc3cscn3)C2)C1","ZINC001053430390","EBAD"
"CCCN1CCC(N[C@H](C2CCC2)[C@H]2CCOC2)CC1","ZINC000711841208","CFAD"
"CCCCN1CC[C@H](NC(=O)c2cc(F)c[nH]2)[C@H]1CC","ZINC001087662700","CFAD"
"O=C(c1cc2ccc(Cl)cc2[nH]1)N1CCC[C@H](CO)CC1","ZINC000294622902","DGAD"
"COc1cc(C#N)ccc1CN1C[C@H](C)C[C@H](C)C1","ZINC000120560964","CGED"
"Cc1ccc(C(N)=O)cc1NC(=O)C(=O)N(CC(F)F)C1CCC1","ZINC000892263964","EDAD"
"CCc1nnc(S[C@H]2CCN(c3ccccc3Cl)C2=O)o1","ZINC000641562819","DGAD"
"C[C@@H]1CCC[C@H](CNC(=O)C2CCSCC2)C1","ZINC000336389551","CGAD"
"CCn1ncc2c1CCC[C@@H]2N[C@H]1CCN(C2CCCCC2)C1=O","ZINC000629244532","EFAD"
"Cc1nc(C(C)C)oc1C(=O)NCCc1ncc(C(=O)O)s1","ZINC001600688906","DEAD"
"Cc1cnn(C)c1C(=O)NCC1CCN(C(=O)[C@@H]2CCCN2C)CC1","ZINC000952445893","ECAD"
"C=CCN(C(=O)NCCS(=O)(=O)CC1CC1)[C@@H](C)COC","ZINC000853869959","DDED"
"CC[C@H](C)[C@@H](O)CNS(=O)(=O)C[C@@H](COC)OC","ZINC000641347649","CBAD"
"CCN[C@H](C)C[C@@H](C)NC(=O)c1cn(C)nc1COC","ZINC001134794760","CDAD"
"CC(=O)NC1(CNC(=O)C[C@H]2CCC(=O)N2)CCC1","ZINC001063606363","CBAD"
"O=C(N[C@@H]1CCN(C(=O)c2cnon2)C[C@@H]1O)c1cnn[nH]1","ZINC000991587209","DAAD"
"COc1ccccc1C/C(C)=C/C(=O)N[C@H](CO)[C@H]1CCCOC1","ZINC000839856099","EEAD"
"CCN(CCNC(=O)C1(C(F)F)CCC1)c1cnc(C#N)cn1","ZINC001100692277","DDED"
"CNC(=O)CN1C[C@@H](NC(=O)c2cnn(CCN(C)C)c2)[C@@H](O)C1","ZINC001083851268","EAAD"
"Cn1cnc(C(=O)N[C@H]2CCCN(C[C@H](O)C3CCCCC3)CC2)c1","ZINC001052310270","EDAD"
"Cc1c[nH]c(C(=O)N[C@H]2CC[C@@H](CNC(=O)c3csnn3)C2)n1","ZINC001015453583","ECAD"
"C[C@H](CCNCCS(=O)(=O)NC(C)(C)C)c1ccccc1","ZINC000579077325","DEAD"
"CCO[C@@H](C)C(=O)N[C@@H]1CN(Cc2nnnn2C)C[C@H]1C","ZINC001206170411","CBAD"
"COCC(C)(C)C(=O)N1CCC[C@@H]1CN(C)C(=O)[C@@H](C)n1cccc1","ZINC001369657168","EEAD"
"CCn1c(SC[C@@H]2CCCC[C@@H]2O)nnc1-c1ccccn1","ZINC000332702274","DGAD"
"C[C@@H]1CC[C@@H](C(=O)O)CN1c1ccc(Br)cn1","ZINC000662894980","CFAD"
"N#Cc1c2ccccc2[nH]c1C(=O)N[C@@H](C(=O)O)c1ccccc1","ZINC001601080872","DFED"
"O=C(NC[C@H]1COCCN1c1ncc(F)cn1)c1nc[nH]n1","ZINC001066494988","DBAD"
"COC(=O)c1cc(CN[C@@H](c2ccccc2)C2CCOCC2)cn1C","ZINC000368032355","EGAD"
"Cn1cnc(C(=O)N2CCC[C@](CO)(NC(=O)c3cncnc3)C2)c1","ZINC001055898388","EBAD"
"Cc1cc(CN2CCCN(C(=O)Cn3cccn3)CC2)on1","ZINC000980704911","DCAD"
"Cc1c[nH]nc1C(=O)NC[C@H]1CCN1C(=O)CNC(=O)N1CCCC1","ZINC001505701959","EBAD"
"CO[C@@H](CS(=O)(=O)N[C@@H](CO)C(N)=O)C1CCCC1","ZINC000656989522","CAAD"
"O=C(C[C@H]1CCCO1)N(CCO)CCNC(=O)c1cnn[nH]1","ZINC001057073028","DAAD"
"Cc1c[nH]c(C(=O)NC[C@H]2CCN2C(=O)C(N)=O)n1","ZINC000950185477","CAAD"
"Cc1cc(N2C[C@H]3[C@@H](C2)[C@@H]3NC(=O)[C@H]2C[C@H]2C)nc(-c2ccccn2)n1","ZINC001060381535","EEAD"
"COC(=O)Cn1cc(CNC(=O)N2C[C@H]3CCC[C@H]32)nn1","ZINC000441464881","CCAD"
"CC(C)NCCCNC(=O)N[C@H]1CCO[C@H](C(C)(C)C)C1","ZINC000637425989","CEAD"
"C=CCOCC(=O)N1C[C@H]2CN(C(=O)[C@@]3(C)C=CCC3)C[C@H]2C1","ZINC001055251015","DDED"
"Cc1nonc1CNCc1cnc(-c2ccco2)s1","ZINC000809744443","CEAD"
"CC(=O)Nc1ccc(CN2CCO[C@H](C(C)=O)C2)c(C)c1","ZINC001232188198","CDAD"
"COCC1(C(=O)N2CCn3nccc3C2)CCOCC1","ZINC001453766162","CCAD"
"CCO[C@@H]1COCC[C@@H]1CC(=O)Nc1ccc2c(c1)CNC2","ZINC000867974023","DEAD"
"C[C@@H]1CC/C(=C/C(=O)OCc2ccc(S(=O)(=O)C(F)F)cc2)C1","ZINC000754188417","EGAD"
"CC(C)OCCN1C[C@@H]2[C@H](C1)OCCN2S(=O)(=O)N(C)C","ZINC001277657964","DBAD"
"CN(C[C@H](O)CO)C[C@@]1(O)CCN(Cc2ccccc2)C1","ZINC000711820488","CBAD"
"O=C(CCc1ccon1)N(CCO)CCNC(=O)c1ccccc1O","ZINC001058089048","ECAD"
"C[C@]1(C(=O)N[C@@H]2CN(C(=O)Cn3nccn3)C[C@H]2O)CCOC1","ZINC001025309329","DAAD"
"CC[C@@H](C)C(=O)N1CCOC2(CN(CC3CC(F)(F)C3)C2)C1","ZINC001053167162","DDAD"
"C#CCNCCCC[C@H](C)NC(=O)c1cn2ccc(C)cc2n1","ZINC001171701860","DEED"
"COC[C@H]1C[C@@H](O)CN1C(=O)C(=O)N1C[C@H](COC)O[C@@H](C)C1","ZINC001326581297","EAAD"
"C=C(C)CCN[C@H]1CCN(C(=O)C[C@@H](C)n2cccn2)[C@H]1C","ZINC001179875785","DEED"
"COc1ccc(C(=O)N2CC[C@@H]([C@H](C)NCc3csnn3)C2)cc1","ZINC001048043142","EEAD"
"CC(=O)N1CCO[C@H]2CCN(C(=O)Cn3cnnn3)C[C@@H]21","ZINC001019850123","CAAD"
"C[C@@H](NC(=O)c1cc(C(N)=O)co1)[C@H]1CN(C(=O)C(N)=O)CCO1","ZINC001009741228","EAAD"
"O=C(NCc1ccc2c(c1)CCC2)[C@H]1C[C@]12CCCOC2","ZINC001183686376","CFAD"
"CCN(Cc1cc(C)cc(C)c1)[C@H](C)CNC(=O)CCNC(=O)NC","ZINC001153151128","EDAD"
"COC[C@H](OC)C(=O)N(CCO)CCNC(=O)[C@@H](C)C#N","ZINC001058757278","DAED"
"CN(C[C@@H]1COCCO1)[C@@H]1CC(=O)N(c2cnccn2)C1=O","ZINC000656480409","DBAD"
"Cn1cc(CN2C[C@@H](O)[C@@H](CNC(=O)c3csnn3)C2)cn1","ZINC000958289237","DBAD"
"CC(C)CCS(=O)(=O)N1CCN(c2nccc(C(C)C)n2)CC1","ZINC000184269880","EEAD"
"Cn1ncc(C(=O)NC[C@H]2CN(Cc3nnnn3C)CCO2)n1","ZINC001035549378","DAAD"
"NC(=O)CONC(=O)c1ncccc1Br","ZINC000231765768","CBAD"
"C[C@H](CNC(=O)C(=O)N1CC[C@@H](c2cccnc2)C1)C(=O)O","ZINC000656000678","DCAD"
"C[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H]1C[C@@H]2C[C@H]([C@@H]1C)C2(C)C","ZINC001221199700","DBAD"
"CCOCc1cccc(NC(=O)N2CCC(COC)CC2)c1","ZINC000112423747","DGAD"
"CC(C)N1CC[C@@H](NC(=O)c2nnc(O)nc2O)[C@H](O)C1","ZINC001090395524","CAAD"
"Cn1cc(CNC[C@@H]2CCCN2C(=O)CCn2cnnn2)nn1","ZINC001045251143","DAAD"
"Cc1nc(NC(=O)N2CCC=C(c3ccncc3)C2)oc1C","ZINC000556857173","CGAD"
"CNC(=O)CN1CCC[C@@H](NC(=O)c2cc(C3CC3)[nH]n2)CC1","ZINC001052739078","DCAD"
"CC(C)NS(=O)(=O)CCNC(=O)N1CCC[C@@H](n2ccnn2)C1","ZINC000425445546","EBAD"
"C[C@H]1[C@@H](O)CCN1C(=O)CNc1ccc(-c2nn[nH]n2)cn1","ZINC001591775538","DBAD"
"CC(C)(C(=O)O)C(=O)O[C@@H]1CCN(c2ccc([N+](=O)[O-])cc2)C1","ZINC001602838632","DDBD"
"O=C(N[C@@H]1CCCC[C@@H]1CNCC1CCC1)c1cnn2cc[nH]c12","ZINC001037246715","EEAD"
"CC[C@@H](C)OCC(=O)N[C@@H](CC)CNC(=O)c1ccccc1Cl","ZINC001451108030","EFAD"
"CC[C@H](C)C(=O)N[C@@H]1C[C@H]2CC[C@@H]1N2Cc1cccc(F)c1","ZINC001110296613","DGAD"
"CC(=O)N(C)CC(=O)N[C@@H]1CCN(CCn2cccn2)C1","ZINC001369963023","CBAD"
"CCc1ncc(NC(=O)C[C@H]2CCC(=O)[C@@H]2C)cn1","ZINC000527001701","CDAD"
"CCc1nc(C(=O)NC[C@H](C2CC2)N(C)C(=O)Cn2ncnn2)co1","ZINC001487658067","EBAD"
"CCC[C@H](CC(C)C)C(=O)NC[C@H]1CCOC[C@@H]1OC","ZINC000452624420","CFAD"
"CC(=O)N1CCC2(CC1)CCN(C(=O)c1cncn1C)CC2","ZINC000936288466","DDAD"
"Cc1ccc(C(=O)N[C@@H](C)C2CCN(C(=O)C[C@@H]3C=CCC3)CC2)o1","ZINC000986759026","EGAD"
"C[C@@H]1CN(CC#N)C[C@H]1NC(=O)[C@@H]1CS(=O)(=O)CC(=O)N1","ZINC001080180374","DAED"
"CC(=O)N(C)C1CN(C(=O)c2ncoc2[C@H]2CCCO2)C1","ZINC000953458871","CCAD"
"COC[C@H](C)NC(=O)N[C@@H]1c2ccccc2NC1(C)C","ZINC000887278509","CEAD"
"C[C@@H]1CCCC[C@@]1(C)NC(=O)NCCOCC(F)(F)C(F)F","ZINC000458725673","EGAD"
"COCC(C)(C)C(=O)NC[C@H]1COCCN1CC(=O)NC(N)=O","ZINC001501810243","EAAD"
"O=C(NCC1(O)CN(C(=O)[C@H]2CNC(=O)N2)C1)C1[C@H]2CCC[C@H]12","ZINC001042391264","DAAD"
"CN1CCC[C@@H]1C(=O)NCCN=c1cc[nH]c(-c2nn[nH]n2)n1","ZINC001591189621","DAAD"
"C[C@@H](CN(C)Cc1ccccc1)NC(=O)NCCO","ZINC000271916036","CCAD"
"CCc1cc(C(=O)N2CC[C@H]2CNC(=O)CNC(C)=O)cc(O)n1","ZINC001505592785","EBAD"
"C=C(C)CNCCNC(=O)c1sc(C(C)(C)C)nc1C","ZINC001153685895","CFED"
"Cc1[nH]nc(C(=O)N[C@H]2CCN(C(=O)Cc3ccsc3)[C@H]2C)c1C","ZINC001011441837","EEAD"
"O=C(NCc1ccc(Cl)cc1)N[C@H](CO)Cc1ccccc1","ZINC000079030173","DFAD"
"COc1nc(C)cc(NC[C@H](C)NC(=O)Cc2nnc(C)o2)n1","ZINC001108361578","DCAD"
"CCN(CCNC(=O)c1cnc(O)n1C)Cc1cc(F)ccc1C","ZINC001493001339","EDAD"
"NC(=O)[C@@H]1CCC2(CN(C(=O)c3cncnc3O)C2)O1","ZINC001275301620","CBAD"
"CC(C)=CCC[C@H](C)CCNC[C@H]1CCO[C@H]1C(=O)O","ZINC001590922189","CFAD"
"CN(C)CCc1ccc(NC(=O)CCc2nc(N(C)C)no2)cc1","ZINC000275469372","EDAD"
"COC(=O)[C@@H]1CC[C@H](C(=O)NC[C@H](OC)C2CC2)C1","ZINC001273915981","CDAD"
"C#CCCCCC(=O)Nc1ncc2c(n1)CC[C@@H](C)C2","ZINC001121264213","CFED"
"CCN(C(=O)CC[C@H]1CCOC1)[C@@H]1CCOC(C)(C)C1","ZINC000354594171","CFAD"
"C[C@H](CNCC=C(Cl)Cl)N(C)C(=O)CCc1cccnc1","ZINC001753703039","EFAD"
"Cc1cnc(C(=O)N2CCN(C(=O)[C@@H](F)C(C)C)CC2)cn1","ZINC001010046627","DDAD"
"CCN(C)C(=O)CN(C)[C@@H]1CCN(C(=O)Cc2nonc2C)C1","ZINC001193171340","DBAD"
"COC(=O)[C@H]1CS[C@@H](C(=O)OC)N1C(=O)C1(F)CNC1","ZINC001160493000","DAAD"
"NC(=O)C(=O)N1C[C@H]2C[C@@H]3CN(C(=O)CCc4cn[nH]c4)C[C@@]3(C1)O2","ZINC001001633729","EAAD"
"CCNC(=O)C(C)(C)CNC(=O)C(=O)N[C@@H]1C[C@H](OC)C12CCC2","ZINC001331660293","ECAD"
"O=C(NC[C@H]1CCCCCN1Cc1nc(O)n[nH]1)c1ncc[nH]1","ZINC000968854051","DCAD"
"O=C(CN1CC(CNC(=O)[C@@H]2CCNC(=O)C2)C1)N1CCCCC1","ZINC001031614102","EBAD"
"CC[C@H](F)CN1CC[C@H]1CNC(=O)[C@H]1CC[C@H](CC)CC1","ZINC001038942507","CGAD"
"COC[C@@](C)(O)CNC(=O)C(=O)c1cnn(C)c1","ZINC001318972441","CBAD"
"CC(C)(C)n1[nH]cnc1=NC(=O)c1nc(N2CCCC2)ncc1Cl","ZINC000670277685","EDAD"
"Cc1ccc(C2CC2)c(C(=O)NC[C@@H]2CN(CCCO)CCCO2)c1","ZINC001073712642","EEAD"
"CC[C@H](CNC(=O)c1ccoc1)NC(=O)c1cc[nH]c1C(C)C","ZINC001456701227","DFAD"
"CCSC1(CNC(=O)N2CCC[C@@H](CNC(=O)C(C)C)C2)CC1","ZINC000596883506","EEAD"
"NC(=O)CN1CC[C@@H](NC(=O)CCn2cccn2)[C@@H](O)C1","ZINC001099684111","CAAD"
"COc1ccc(C[C@@H](C)CNC(=O)c2ccc([N+](=O)[O-])[nH]2)cc1","ZINC000270778309","DFBD"
"CCNC(=O)N1CCN(c2nc(=N)[nH]c(=N)[nH]2)CC1","ZINC000623816563","CAAD"
"NC(=O)NCC(=O)N1CC[C@](O)(CNC(=O)c2cc[nH]c2)C1","ZINC001040081646","DAAD"
"CCCCC(=O)N[C@@H](C)C1CN(C(=O)c2cc(OC)cc(OC)c2)C1","ZINC001450285222","EEAD"
"CC(C)CC(=O)N1[C@@H]2CC[C@H]1C[C@@H](CNC(=O)[C@H]1CCCO1)C2","ZINC000959661227","DEAD"
"CC(=O)N(C)CC(=O)N[C@@H]1CCN(C(=O)c2ccn(C)n2)C1","ZINC001385598404","DBAD"
"O=C(CCCF)N[C@]12CCC[C@H]1CN(CCO[C@@H]1CC1(F)F)C2","ZINC001111841716","EEAD"
"Cn1cc(/C=C\C(=O)N2CCCN3c4ccccc4C[C@H]3C2)cn1","ZINC000810824065","DEAD"
"CCC1(C(=O)Nc2ccc([C@@H]3C[C@H]3N)cc2)CCCC1","ZINC000705669515","CGAD"
"CCO[C@@H]1C[C@H](NC(=O)c2cc(S(N)(=O)=O)ccc2C)[C@H]1OC","ZINC000681540032","ECAD"
"CCN(CC)c1ccc(C(=O)N2CCC=C(C)C2)cc1","ZINC000437969739","CGAD"
"CC(C)N1CC[C@@H](N[C@H]2C[C@@H](NC(=O)C3=COCCC3)C2)C1=O","ZINC001021888749","DCAD"
"Cc1ccc2c(c1)[C@@H](NC(=O)Cc1cccc(F)c1F)CO2","ZINC000531659047","DGAD"
"O=C(Cc1nc[nH]n1)N[C@@H]1CCN(C(=O)CCc2nc[nH]n2)C[C@@H]1O","ZINC000991797911","EAAD"
"Cc1cnn(C)c1CN[C@H]1CCCC[C@H]1C(C)(C)C","ZINC000394792783","CGAD"
"O=C([C@H]1CCc2nnc(O)n2C1)N1CCC[C@@H]1CN1CCCC1","ZINC001646576926","DCAD"
"C[C@H](C#N)C(=O)N1CC([C@H](C)NC(=O)Cc2cncn2C)C1","ZINC001383302420","DCED"
"COC(=O)[C@@]1(O)CCN(C(=O)c2cc(C(=O)O)oc2C)C1","ZINC001606357958","CCAD"
"NC(=O)NC(=O)CN1CC[C@@H]2CN(C(=O)Cc3cc[nH]n3)CC[C@H]21","ZINC001422259847","EBAD"
"CCc1nc(C(=O)N(CC)[C@H]2CCN(C(C)=O)C2)co1","ZINC000942753899","CDAD"
"Cc1nn(C)cc1[C@@H]1CCCN1C(=O)c1cc(-c2ccc(C)cc2)[nH]n1","ZINC000369462659","EGAD"
"CN1CC[C@](O)(CNC(=O)[C@H]2CCCCN2S(C)(=O)=O)C1","ZINC000680827302","DAAD"
"COC(=O)[C@H](O)C1CCN(C(=O)[C@@H]2CCNC2=O)CC1","ZINC001334354074","CAAD"
"O=C(CN[C@H](CNC(=O)[C@H]1CCC(=O)N1)C1CC1)NCC1CC1","ZINC001370143687","DBAD"
"CNC(=O)NC(=O)[C@@H](C)NCCN(C)C(=O)[C@@H]1CCN(C)C1","ZINC001391217893","DAAD"
"CC[C@H](C(=O)N1C[C@H]2CN([C@@H]3CCNC3=O)C[C@H]2C1)N1CCCC1=O","ZINC001049223442","EBAD"
